bird_id,bird_reference,bird_reference_2019,bird_euring,bird_bto,bird_shorthand,bird_scheme,bird_ring_number,bird_name,bird_sex,bird_birth_year,bird_date_begin,bird_date_end,bird_rings_changed,bird_age_ringing,bird_ring_position,bird_ring_direction,bird_notes
,31,31,05910,,BW(BDAA),BLB,L....89220,,U,,1999-07-29T00:00:00Z,2009-08-27T00:00:00Z,2,1,,,
,31,31,05910,,BW(BDAA),,,,U,,2009-08-27T00:00:00Z,,0,A,RB,U,
,32,32,05910,,BW(ADAP),BLB,L...913155,,M,,1999-07-29T00:00:00Z,2011-05-26T00:00:00Z,2,1,,,
,32,32,05910,,BW(NG.AP),BLB,L...913155,,M,,2011-05-26T00:00:00Z,,1,A,RB,D,
,33,33,05910,,BW(BDAB),BLB,L....89222,,U,,1999-07-29T00:00:00Z,,2,1,RB,U,
,34,34,05910,,BW(BDAC),BLB,L....89223,,U,,1999-07-29T00:00:00Z,,2,1,,,
,35,35,05910,,BW(BDAD),BLB,L...906637,,M,,1999-07-29T00:00:00Z,2007-06-06T00:00:00Z,2,1,,,
,35,35,05910,,BW(G.MAA),BLB,L...906637,,M,,2007-06-06T00:00:00Z,,1,A,RB,U,
,36,36,05910,,BW(BDAF),BLB,L....89225,,U,,1999-07-29T00:00:00Z,,2,1,,,
,37,37,05910,,BW(BDAG),BLB,L....89226,,U,,1999-07-29T00:00:00Z,,2,1,,,
,38,38,05910,,BW(BDAH),BLB,L...904906,,U,,1999-07-29T00:00:00Z,2006-06-07T00:00:00Z,2,1,,,
,38,38,05910,,BW(DF.AW),BLB,L...904906,,U,,2006-06-07T00:00:00Z,,1,A,RB,U,
,39,39,05910,,BW(BDAJ),BLB,L....89228,,U,,1999-07-29T00:00:00Z,2000-07-01T00:00:00Z,2,1,,,
,40,40,05910,,BW(BDAK),BLB,L....89229,,U,,1999-07-29T00:00:00Z,,2,1,,,
,41,41,05910,,BW(BDAL),BLB,L....89230,,U,,1999-07-29T00:00:00Z,,2,1,RB,U,
,42,42,05910,,BW(BDAM),BLB,L....89231,,F,,1999-07-29T00:00:00Z,,2,1,,,
,43,43,05910,,BW(BBAA),BLB,L....89187,,U,,1999-07-20T00:00:00Z,,2,1,,,
,44,44,05910,,BW(BBAB),BLB,L....89188,,M,,1999-07-20T00:00:00Z,2008-03-26T00:00:00Z,2,1,,,
,44,44,05910,,BW(BBAB),,,,M,,2008-03-26T00:00:00Z,,0,A,RB,U,
,45,45,05910,,BW(BBAC),BLB,L....89189,,U,,1999-07-20T00:00:00Z,,2,1,,,
,46,46,05910,,BW(BBAD),BLB,L....89190,,U,,1999-07-20T00:00:00Z,,2,1,,,
,47,47,05910,,BW(BBAF),BLB,L....89191,,F,,1999-07-20T00:00:00Z,,2,1,RB,U,
,48,48,05910,,BW(BDAN),BLB,L....89232,,F,,1999-07-29T00:00:00Z,2010-03-17T00:00:00Z,2,1,,,
,48,48,05910,,BW(BDAN),,,,F,,2010-03-17T00:00:00Z,,0,A,RB,U,
,49,49,05910,,BW(BDAP),BLB,L....89233,,F,,1999-07-29T00:00:00Z,2006-04-28T00:00:00Z,2,1,,,
,49,49,05910,,BW(BDAP),,,,F,,2006-04-28T00:00:00Z,,0,A,RB,U,
,50,50,05910,,BW(BDAR),BLB,L....89234,,U,,1999-07-29T00:00:00Z,,2,1,,,
,51,51,05910,,BW(BDAS),BLB,L....89235,,U,,1999-07-29T00:00:00Z,,2,1,RB,U,
,52,52,05910,,BW(BDAT),BLB,L....89236,,U,,1999-07-29T00:00:00Z,,2,1,RB,U,
,53,53,05910,,BW(BDAU),BLB,L....89237,,M,,1999-07-29T00:00:00Z,,2,1,RB,U,
,54,54,05910,,BW(BDAV),BLB,L....89238,,M,,1999-07-29T00:00:00Z,,2,1,RB,U,
,55,55,05910,,BW(BDAW),BLB,L....89239,,U,,1999-07-29T00:00:00Z,,2,1,RB,U,
,56,56,05910,,BW(BDAX),BLB,L....89240,,U,,1999-07-29T00:00:00Z,,2,1,RB,U,
,57,57,05910,,BW(BDAZ),BLB,L....89241,,U,,1999-07-29T00:00:00Z,2002-06-12T00:00:00Z,2,1,,,
,57,57,05910,,,BLB,L....89241,,U,,2002-06-12T00:00:00Z,,1,,,,
,58,58,05910,,BW(AVAT),BLB,L....89242,,U,,1999-07-29T00:00:00Z,,2,1,RB,U,
,59,59,05910,,BW(BCAR),BLB,L....89211,,U,,1999-07-28T00:00:00Z,,2,1,RB,U,
,60,60,05910,,BW(BCAS),BLB,L....89212,,U,,1999-07-28T00:00:00Z,,2,1,,,
,61,61,05910,,BW(BCAT),BLB,L....89213,,U,,1999-07-28T00:00:00Z,2004-11-21T00:00:00Z,2,1,,,
,61,61,05910,,BW(BCAT),,,,U,,2004-11-21T00:00:00Z,,0,A,RB,U,
,62,62,05910,,BW(BCAU),BLB,L....89214,,U,,1999-07-28T00:00:00Z,,2,1,,,
,63,63,05910,,BW(BSAY),BLB,L...912663,,M,,1999-07-29T00:00:00Z,2008-03-12T00:00:00Z,2,1,,,
,63,63,05910,,BW(BSAY),,,,M,,2008-03-12T00:00:00Z,2012-05-17T00:00:00Z,0,A,,,
,63,63,05910,,BW(TS.AK),BLB,L...912663,,M,,2012-05-17T00:00:00Z,,2,,RB,U,
,64,64,05910,,BW(BCAD),BLB,L...907008,,M,,1999-07-28T00:00:00Z,2007-04-20T00:00:00Z,2,1,,,
,64,64,05910,,BW(BCAD),,,,M,,2007-04-20T00:00:00Z,2007-06-14T00:00:00Z,0,A,,,
,64,64,05910,,BW(GJA.V),BLB,L...907008,,M,,2007-06-14T00:00:00Z,,2,A,RB,U,
,65,65,05910,,BW(BCAF),BLB,L....89202,,U,,1999-07-28T00:00:00Z,,2,1,,,
,66,66,05910,,BW(BCAG),BLB,L....89203,,U,,1999-07-28T00:00:00Z,,2,1,RB,U,
,67,67,05910,,BW(BCAH),BLB,L....89204,,U,,1999-07-28T00:00:00Z,,2,1,,,
,68,68,05910,,BW(BCAJ),BLB,L....89205,,U,,1999-07-28T00:00:00Z,,2,1,,,
,69,69,05910,,BW(BCAK),BLB,L....89206,,U,,1999-07-28T00:00:00Z,,2,1,RB,U,
,70,70,05910,,BW(BCAL),BLB,L....89207,,U,,1999-07-28T00:00:00Z,,2,1,RB,U,
,71,71,05910,,BW(BCAM),BLB,L....89208,,U,,1999-07-28T00:00:00Z,,2,1,RB,,
,72,72,05910,,BW(BCAN),BLB,L...904813,,M,,1999-07-28T00:00:00Z,2006-05-26T00:00:00Z,2,1,,,
,72,72,05910,,BW(DH.AG),BLB,L...904813,,M,,2006-05-26T00:00:00Z,,1,A,RB,U,
,73,73,05910,,BW(BCAP),BLB,L....89210,,U,,1999-07-28T00:00:00Z,,2,1,RB,,
,74,74,05910,,,BLB,L....85111,,U,,1999-06-01T00:00:00Z,1999-07-09T00:00:00Z,0,1,,,sovon_bird_shorthand not available.
,74,74,05910,,BW(BMAK),BLB,L....85111,,U,,1999-07-09T00:00:00Z,,1,1,,,
,75,75,05910,,,BLB,L...909989,,M,,1999-06-01T00:00:00Z,1999-07-07T00:00:00Z,0,1,,,sovon_bird_shorthand not available.
,75,75,05910,,BW(AFAS),BLB,L...909989,,M,,1999-07-07T00:00:00Z,2009-03-10T00:00:00Z,1,1,,,
,75,75,05910,,BW(AFAS),,,,M,,2009-03-10T00:00:00Z,2009-05-25T00:00:00Z,0,,,,
,75,75,05910,,BW(LBA.G),BLB,L...909989,,M,,2009-05-25T00:00:00Z,,2,A,RB,U,
,76,76,05910,,BW(ASAX),BLB,L...909270,,M,,1999-07-07T00:00:00Z,2005-06-14T00:00:00Z,2,1,,,
,76,76,05910,,BW(ASAX),,,,M,,2005-06-14T00:00:00Z,2008-05-21T00:00:00Z,0,A,,,
,76,76,05910,,BW(KC.AN),BLB,L...909270,,M,,2008-05-21T00:00:00Z,,2,A,RB,U,
,77,77,05910,,BW(ASAY),BLB,L...909644,,M,,1999-07-07T00:00:00Z,2005-06-17T00:00:00Z,2,1,,,
,77,77,05910,,BW(ASAY),,,,M,,2005-06-17T00:00:00Z,2009-05-18T00:00:00Z,0,A,,,
,77,77,05910,,BW(H.WAT),BLB,L...909644,,M,,2009-05-18T00:00:00Z,,2,A,RB,U,
,78,78,05910,,BW(ASAU),BLB,L....89123,,U,,1999-07-07T00:00:00Z,,2,1,,,
,79,79,05910,,BW(AWAB),BLB,L....89133,,U,,1999-07-09T00:00:00Z,,2,1,RB,,
,80,80,05910,,BW(AUAP),BLB,L...909674,,M,,1999-07-09T00:00:00Z,2008-04-04T00:00:00Z,2,1,,,
,80,80,05910,,BW(AUAP),,,,M,,2008-04-04T00:00:00Z,2008-06-04T00:00:00Z,0,A,,,
,80,80,05910,,BW(KG.AR),BLB,L...909674,,M,,2008-06-04T00:00:00Z,,2,A,RB,U,
,81,81,05910,,BW(AVAA),BLB,L....89135,,U,,1999-07-09T00:00:00Z,,2,1,,,
,82,82,05910,,BW(AVAC),BLB,L....89136,,U,,1999-07-09T00:00:00Z,,2,1,,,
,83,83,05910,,BW(AVAD),BLB,L...914601,,M,,1999-07-09T00:00:00Z,2007-03-28T00:00:00Z,2,1,,,
,83,83,05910,,BW(AVAD),,,,M,,2007-03-28T00:00:00Z,2012-05-22T00:00:00Z,0,A,,,
,83,83,05910,,BW(U.TAL),BLB,L...914601,,M,,2012-05-22T00:00:00Z,,2,A,RB,U,
,84,84,05910,,BW(AVAH),BLB,L....89138,,U,,1999-07-09T00:00:00Z,,2,1,,,
,85,85,05910,,BW(AVAL),BLB,L....89139,,F,,1999-07-09T00:00:00Z,,2,1,RB,U,
,86,86,05910,,BW(AVAS),BLB,L....89140,,U,,1999-07-09T00:00:00Z,,2,1,RB,,
,87,87,05910,,BW(AWAD),BLB,L....89141,,U,,1999-07-09T00:00:00Z,,2,1,RB,U,
,88,88,05910,,BW(AWAF),BLB,L....89142,,M,,1999-07-09T00:00:00Z,2008-08-19T00:00:00Z,2,1,RB,U,
,89,89,05910,,BW(AWAH),BLB,L....89143,,U,,1999-07-09T00:00:00Z,,2,1,,,
,90,90,05910,,BW(AWAJ),BLB,L....89144,,U,,1999-07-09T00:00:00Z,,2,1,,,
,91,91,05910,,BW(AWAM),BLB,L....89145,,U,,1999-07-09T00:00:00Z,,2,1,,,
,92,92,05910,,BW(AWAN),BLB,L....89146,,M,,1999-07-09T00:00:00Z,2002-06-26T00:00:00Z,2,1,,,
,92,92,05910,,BW(AWAN),,,,M,,2002-06-26T00:00:00Z,,0,5,RB,D,
,93,93,05910,,BW(AWAR),BLB,L...902146,,M,,1999-07-09T00:00:00Z,2005-05-20T00:00:00Z,2,1,,,
,93,93,05910,,,BLB,L...902146,,M,,2005-05-20T00:00:00Z,2006-05-23T00:00:00Z,1,A,,,
,93,93,05910,,BW(DG.AU),BLB,L...902146,,M,,2006-05-23T00:00:00Z,,1,A,RB,U,
,94,94,05910,,BW(AWAU),BLB,L....89148,,M,,1999-07-09T00:00:00Z,,2,1,RB,U,
,95,95,05910,,BW(AWAV),BLB,L....89149,,U,,1999-07-09T00:00:00Z,2005-11-10T00:00:00Z,2,1,,,
,95,95,05910,,BW(AWAV),,,,U,,2005-11-10T00:00:00Z,,0,A,RB,U,
,96,96,05910,,BW(AWAW),BLB,L....89150,,U,,1999-07-09T00:00:00Z,,2,1,,,
,97,97,05910,,BW(BJAA),BLB,L...909636,,M,,1999-07-09T00:00:00Z,2009-03-24T00:00:00Z,2,1,,,
,97,97,05910,,BW(BJAA),,,,M,,2009-03-24T00:00:00Z,2009-05-14T00:00:00Z,0,,,,
,97,97,05910,,BW(HW.AF),BLB,L...909636,,M,,2009-05-14T00:00:00Z,2017-05-30T00:00:00Z,2,A,RB,U,
,98,98,05910,,BW(BJAJ),BLB,L....85154,,U,,1999-07-09T00:00:00Z,,2,1,RB,U,
,99,99,05910,,BW(BJAL),BLB,L....85155,,U,,1999-07-09T00:00:00Z,,2,1,,,
,100,100,05910,,BW(AXAG),BLB,L....89182,,M,,1999-07-13T00:00:00Z,2006-04-28T00:00:00Z,2,1,,,
,100,100,05910,,BW(AXAG),,,,M,,2006-04-28T00:00:00Z,,0,A,RB,U,
,101,101,05910,,BW(AXAJ),BLB,L....89183,,U,,1999-07-13T00:00:00Z,,2,1,RB,,
,102,102,05910,,BW(BJAP),BLB,L....85156,,U,,1999-07-09T00:00:00Z,,2,1,RB,U,
,103,103,05910,,BW(BJAR),BLB,L....85157,,U,,1999-07-09T00:00:00Z,,2,1,,,
,104,104,05910,,BW(BJAT),BLB,L....85158,,U,,1999-07-09T00:00:00Z,,2,1,RB,U,
,105,105,05910,,BW(BJAX),BLB,L....85159,,U,,1999-07-09T00:00:00Z,,2,1,RB,,
,106,106,05910,,BW(BJAY),BLB,L...907007,,F,,1999-07-09T00:00:00Z,2007-05-03T00:00:00Z,2,1,,,
,106,106,05910,,BW(BJAY),,,,F,,2007-05-03T00:00:00Z,2007-06-14T00:00:00Z,0,A,,,
,106,106,05910,,BW(GJA.Y),BLB,L...907007,,F,,2007-06-14T00:00:00Z,,2,A,RB,U,
,107,107,05910,,BW(BJAZ),BLB,L....85161,,F,,1999-07-09T00:00:00Z,2006-04-12T00:00:00Z,2,1,,,
,107,107,05910,,BW(BJAZ),,,,F,,2006-04-12T00:00:00Z,,0,A,RB,U,
,108,108,05910,,BW(BKAA),BLB,L....85162,,M,,1999-07-09T00:00:00Z,,2,1,RB,U,
,109,109,05910,,BW(BKAC),BLB,L....85163,,U,,1999-07-09T00:00:00Z,,2,1,,,
,110,110,05910,,BW(BKAD),BLB,L....85164,,U,,1999-07-09T00:00:00Z,,2,1,,,
,111,111,05910,,BW(BKAJ),BLB,L....85165,,U,,1999-07-09T00:00:00Z,,2,1,,,
,112,112,05910,,BW(BKAK),BLB,L....85166,,U,,1999-07-09T00:00:00Z,,2,1,RB,U,
,113,113,05910,,BW(BKAN),BLB,L....85167,,M,,1999-07-09T00:00:00Z,,2,1,RB,U,
,114,114,05910,,BW(BKAZ),BLB,L....85168,,U,,1999-07-09T00:00:00Z,2003-10-30T00:00:00Z,2,1,RB,U,
,114,114,05910,,,BLB,L....85168,,U,,2003-10-30T00:00:00Z,,1,,,,
,115,115,05910,,BW(BLAB),BLB,L....85169,,U,,1999-07-09T00:00:00Z,,2,1,RB,,
,116,116,05910,,BW(BLAC),BLB,L....85170,,U,,1999-07-09T00:00:00Z,,2,1,RB,,
,117,117,05910,,BW(BLAD),BLB,L...909631,,M,,1999-07-09T00:00:00Z,2009-05-18T00:00:00Z,2,1,,,
,117,117,05910,,BW(HW.AJ),BLB,L...909631,,M,,2009-05-18T00:00:00Z,,1,A,RB,U,
,118,118,05910,,BW(BLAF),BLB,L....85172,,U,,1999-07-09T00:00:00Z,,2,1,RB,,
,119,119,05910,,BW(BLAG),BLB,L....85173,,U,,1999-07-09T00:00:00Z,,2,1,,,
,120,120,05910,,BW(BLAH),BLB,L...909268,,M,,1999-07-09T00:00:00Z,2005-04-05T00:00:00Z,2,1,,,
,120,120,05910,,BW(BLAH),,,,M,,2005-04-05T00:00:00Z,2008-05-21T00:00:00Z,0,A,,,
,120,120,05910,,BW(KS.AF),BLB,L...909268,,M,,2008-05-21T00:00:00Z,2009-09-19T00:00:00Z,2,A,RB,U,
,121,121,05910,,BW(BLAJ),BLB,L....85175,,U,,1999-07-09T00:00:00Z,,2,1,RB,U,
,122,122,05910,,BW(BLAK),BLB,L....85176,,U,,1999-07-09T00:00:00Z,,2,1,RB,U,
,123,123,05910,,BW(BLAL),BLB,L....85177,,U,,1999-07-09T00:00:00Z,,2,1,,,
,124,124,05910,,BW(BLAM),BLB,L....85178,,U,,1999-07-09T00:00:00Z,,2,1,,,
,125,125,05910,,BW(BLAN),BLB,L....85179,,U,,1999-07-09T00:00:00Z,,2,1,RB,U,
,126,126,05910,,BW(BLAP),BLB,L....85180,,U,,1999-07-09T00:00:00Z,,2,1,,,
,127,127,05910,,BW(BLAR),BLB,L...909682,,M,,1999-07-09T00:00:00Z,2007-04-18T00:00:00Z,2,1,,,
,127,127,05910,,BW(BLAR),,,,M,,2007-04-18T00:00:00Z,2008-06-04T00:00:00Z,0,A,,,
,127,127,05910,,BW(KK.AB),BLB,L...909682,,M,,2008-06-04T00:00:00Z,,2,A,RB,U,
,128,128,05910,,BW(BLAT),BLB,L....85182,,U,,1999-07-09T00:00:00Z,,2,1,,,
,129,129,05910,,BW(BLAU),BLB,L....85183,,U,,1999-07-09T00:00:00Z,,2,1,,,
,130,130,05910,,BW(BMAP),BLB,L....85195,,U,,1999-07-09T00:00:00Z,,2,1,,,
,131,131,05910,,BW(BMAR),BLB,L....85196,,U,,1999-07-09T00:00:00Z,,2,1,,,
,132,132,05910,,BW(BMAS),BLB,L....85197,,U,,1999-07-09T00:00:00Z,,2,1,,,
,133,133,05910,,BW(BMAT),BLB,L....85198,,F,,1999-07-09T00:00:00Z,2006-04-05T00:00:00Z,2,1,,,
,133,133,05910,,BW(BMAT),,,,F,,2006-04-05T00:00:00Z,,0,A,RB,U,
,134,134,05910,,BW(BMAU),BLB,L....85199,,U,,1999-07-09T00:00:00Z,,2,1,RB,U,
,135,135,05910,,BW(BMAV),BLB,L....85200,,U,,1999-07-09T00:00:00Z,,2,1,,,
,136,136,05910,,BW(BLAV),BLB,L....85184,,U,,1999-07-09T00:00:00Z,,2,1,,,
,137,137,05910,,BW(BLAW),BLB,L....85185,,U,,1999-07-09T00:00:00Z,,2,1,RB,,
,138,138,05910,,BW(BLAX),BLB,L....85186,,U,,1999-07-09T00:00:00Z,,2,1,RB,U,
,139,139,05910,,BW(BLAY),FRP,EA..676412,,M,,1999-07-09T00:00:00Z,,2,1,RB,U,
,140,140,05910,,BW(BMAA),BLB,L....85188,,M,,1999-07-09T00:00:00Z,,2,1,RB,U,
,141,141,05920,,BW(BMAC),BLB,H....99695,,M,,1999-07-09T00:00:00Z,,2,1,RB,U,
,142,142,05910,,BW(BMAD),BLB,L....85189,,M,,1999-07-09T00:00:00Z,,2,1,RB,U,
,143,143,05910,,BW(BMAF),BLB,L....85190,,U,,1999-07-09T00:00:00Z,,2,1,RB,U,
,144,144,05910,,BW(BMAG),BLB,L....85191,,U,,1999-07-09T00:00:00Z,,2,1,RB,U,
,145,145,05910,,BW(BMAM),BLB,L....85193,,U,,1999-07-09T00:00:00Z,,2,1,,,
,146,146,05910,,BW(BMAN),BLB,L...909903,,M,,1999-07-09T00:00:00Z,2009-05-29T00:00:00Z,2,1,,,
,146,146,05910,,BW(CZ.AX),BLB,L...909903,,M,,2009-05-29T00:00:00Z,,1,A,RB,U,
,147,147,05920,,BW(AAAA),BLB,H...159513,,F,,1999-06-22T00:00:00Z,2006-05-23T00:00:00Z,2,A,,,
,147,147,05920,,,BLB,H...159513,,F,,2006-05-23T00:00:00Z,2009-06-02T00:00:00Z,1,A,,,
,147,147,05920,,BW(CY.AA),BLB,H...159513,,F,,2009-06-02T00:00:00Z,,1,A,RB,U,
,148,148,05920,,,BLB,H....36188,,U,,1999-06-04T00:00:00Z,1999-07-09T00:00:00Z,0,1,,,sovon_bird_shorthand not available.
,148,148,05920,,BW(BJAG),BLB,H....36188,,U,,1999-07-09T00:00:00Z,,1,1,,,
,149,149,05920,,,BLB,H....36199,,F,,1999-06-04T00:00:00Z,1999-07-07T00:00:00Z,0,1,,,sovon_bird_shorthand not available.
,149,149,05920,,BW(APAR),BLB,H....36199,,F,,1999-07-07T00:00:00Z,,1,1,LB,U,
,150,150,05920,,,BLB,H...106507,,U,,1999-06-11T00:00:00Z,1999-07-02T00:00:00Z,0,1,,,sovon_bird_shorthand not available.
,150,150,05920,,BW(ABAA),BLB,H...106507,,U,,1999-07-02T00:00:00Z,,1,1,LB,U,
,151,151,05920,,,BLB,H...106508,,U,,1999-06-11T00:00:00Z,1999-07-07T00:00:00Z,0,1,,,sovon_bird_shorthand not available.
,151,151,05920,,BW(ANAC),BLB,H...106508,,U,,1999-07-07T00:00:00Z,,1,1,,,
,152,152,05920,,,BLB,H...106509,,M,,1999-06-11T00:00:00Z,1999-07-07T00:00:00Z,0,1,,,sovon_bird_shorthand not available.
,152,152,05920,,BW(AKAZ),BLB,H...106509,,M,,1999-07-07T00:00:00Z,2003-08-15T00:00:00Z,1,1,RB,U,
,153,153,05920,,,BLB,H...106510,,M,,1999-06-11T00:00:00Z,1999-07-07T00:00:00Z,0,1,,,sovon_bird_shorthand not available.
,153,153,05920,,BW(ANAF),BLB,H...106510,,M,,1999-07-07T00:00:00Z,2008-06-17T00:00:00Z,1,1,LB,U,
,154,154,05920,,,BLB,H...106511,,M,,1999-06-11T00:00:00Z,1999-07-07T00:00:00Z,0,1,,,sovon_bird_shorthand not available.
,154,154,05920,,BW(AMAB),BLB,H...106511,,M,,1999-07-07T00:00:00Z,,1,1,LB,U,
,155,155,05920,,BW(AJAR),BLB,H...106512,,U,,1999-07-07T00:00:00Z,,2,1,RB,U,
,156,156,05920,,BW(AJAP),BLB,H...146476,,M,,1999-07-07T00:00:00Z,2008-05-27T00:00:00Z,2,1,,,
,156,156,05920,,BW(KR.AL),BLB,H...146476,,M,,2008-05-27T00:00:00Z,,1,A,RB,U,
,157,157,05920,,BW(AJAX),BLB,H...106514,,F,,1999-07-07T00:00:00Z,,2,1,RB,U,
,158,158,05920,,BW(AKAA),BLB,H...136827,,F,,1999-07-07T00:00:00Z,2006-05-24T00:00:00Z,2,1,,,
,158,158,05920,,BW(FN.AH),BLB,H...136827,,F,,2006-05-24T00:00:00Z,,1,A,RB,U,
,159,159,05920,,BW(AKAB),BLB,H...152241,,M,,1999-07-07T00:00:00Z,2008-05-23T00:00:00Z,2,1,,,
,159,159,05920,,BW(KS.AN),BLB,H...152241,,M,,2008-05-23T00:00:00Z,,1,A,RB,U,
,160,160,05920,,BW(AKAD),BLB,H...106517,,U,,1999-07-07T00:00:00Z,,2,1,,,
,161,161,05920,,BW(AKAG),BLB,H...106518,,U,,1999-07-07T00:00:00Z,,2,1,RB,U,
,162,162,05920,,BW(AKAH),BLB,H...106519,,U,,1999-07-07T00:00:00Z,1999-08-29T00:00:00Z,2,1,,,
,163,163,05920,,BW(AKAJ),BLB,H...106520,,U,,1999-07-07T00:00:00Z,,2,1,RB,U,
,164,164,05920,,BW(AKAK),BLB,H...106521,,M,,1999-07-23T00:00:00Z,,2,1,RB,U,
,165,165,05910,,BW(AKAM),BLB,H...106522,,U,,1999-07-07T00:00:00Z,,2,1,RB,U,
,166,166,05920,,BW(AKAS),BLB,H...106523,,U,,1999-07-07T00:00:00Z,,2,1,RB,U,
,167,167,05920,,BW(AKAT),BLB,H...106524,,U,,1999-07-07T00:00:00Z,,2,1,RB,U,
,168,168,05920,,BW(ALAA),BLB,H...106525,,M,,1999-07-07T00:00:00Z,2010-02-04T00:00:00Z,2,1,,,
,168,168,05920,,BW(ALAA),,,,M,,2010-02-04T00:00:00Z,2013-05-15T00:00:00Z,0,A,RB,U,
,169,169,05920,,BW(ALAB),BLB,H...106526,,U,,1999-07-07T00:00:00Z,,2,1,RB,U,
