raw_Nummer,raw_NummerNieuw,raw_NummerDesc,raw_Plaats,raw_RingKleurCode,raw_InscriptieKleurCode,raw_EuringCode,raw_GeslachtCode,raw_MetaalringNummer,raw_MetaalringPlaats,raw_MetaalringLandCode
BSAX,KBAU,KB.AU,RU,B,W,05910,M,L907216,LL,BE
BTAF,PJAN,P.JAN,RU,B,W,05910,M,L914501,LL,BE
BTAX,DKAR,DK.AR,RU,B,W,05910,V,L904920,LL,BE
ACAK,GHAU,GHA.U,RU,B,W,05910,M,L907027,LL,BE
SPS,KDAM,KD.AM,LU,B,W,05910,M,GA37437,RL,UK
KHAB,UMAB,UM.AB,RU,B,W,05910,V,L907443,LL,BE
KMAV,UMAR,UM.AR,RU,B,W,05910,M,L907250,LL,BE
E961,KAAK,KA.AK,RU,B,W,05910,M,L907228,LL,BE
KDAV,YDAV,YDA.V,RU,B,W,05910,V,L907429,LL,BE
HKAA,YXAT,Y.XAT,RL,B,W,05910,O,L907260,LL,BE
